"rang","ID","dist","rt"
"220","1w84znxqb0",1,34212.8999999836
"222","476e39bue5",1,20454.2000000656
"213","5064xq80vo",1,28599.2999999962
"214","5kr6v9l3k3",1,26622.6000000006
"215","5owz2tdzlf",1,26341.1999999989
"218","7lp93h6rxn",1,27538.9999999825
"210","7ufqgzowuw",1,25352.3999999999
"206","9beh804k32",1,22910.100000001
"223","9su88zhdva",1,20742.6999999999
"205","b0kwryrj2v",1,20870.0999999928
"217","dq33u22d9p",1,25906.7000000141
"219","j05axsu9nf",1,23898.8999999851
"211","jss8cdk21f",1,27028.9999999995
"212","jw0kwnz6ay",1,25811.6999999966
"204","jxd9856xq7",1,20167.3999999948
"208","kefszyv1jc",1,20370.6000000129
"221","nx64a91jo7",1,23876.6000000178
"216","qho7rql4zr",1,24028.4999999788
"207","tv1ychurkt",1,27644.7000000117
"209","ytcluxpl10",1,19937.100000021
"220","1w84znxqb0",3,12007.4000000021
"222","476e39bue5",3,9758.30000001588
"213","5064xq80vo",3,11471.7999999975
"214","5kr6v9l3k3",3,14099.0999999958
"215","5owz2tdzlf",3,11394.299999989
"218","7lp93h6rxn",3,12117.4000000101
"210","7ufqgzowuw",3,11442.2
"206","9beh804k32",3,11436.5000000107
"223","9su88zhdva",3,9830.90000000004
"205","b0kwryrj2v",3,10517.500000009
"217","dq33u22d9p",3,11869.1000000108
"219","j05axsu9nf",3,10948.6000000032
"211","jss8cdk21f",3,13178.4999999991
"212","jw0kwnz6ay",3,14280.5999999973
"204","jxd9856xq7",3,9885.40000000648
"208","kefszyv1jc",3,9610.10000000169
"221","nx64a91jo7",3,10528.200000088
"216","qho7rql4zr",3,12273.3999999908
"207","tv1ychurkt",3,12664.1000000163
"209","ytcluxpl10",3,8900.50000000338
"220","1w84znxqb0",4,13229.8999999983
"222","476e39bue5",4,8512.69999996293
"213","5064xq80vo",4,10829.3999999969
"214","5kr6v9l3k3",4,11881.000000003
"215","5owz2tdzlf",4,12789.3999999978
"218","7lp93h6rxn",4,19029.6999999919
"210","7ufqgzowuw",4,11800.3
"206","9beh804k32",4,10693.1000000186
"223","9su88zhdva",4,10366.1999999999
"205","b0kwryrj2v",4,11184.8000000027
"217","dq33u22d9p",4,12092.2000000064
"219","j05axsu9nf",4,11183.4000000089
"211","jss8cdk21f",4,12888.9000000008
"212","jw0kwnz6ay",4,18894.5000000003
"204","jxd9856xq7",4,9676.40000000029
"208","kefszyv1jc",4,8771.0999999872
"221","nx64a91jo7",4,10600.999999966
"216","qho7rql4zr",4,11286.4000000041
"207","tv1ychurkt",4,11809.1000000204
"209","ytcluxpl10",4,8812.59999998292
